id,code,name,category,brand,unit,region,market_price_fcfa,official_price_fcfa,price_date,price_type,official_status,source,source_url,catalog_status,verification_note
20,JP-00020,Baguette de pain,Boulangerie,,unite_60g,Dakar,50.0,50.0,2024-06-24,official_reference,homologué,Arrêté n°09852 du 24 juin 2024,https://www.primature.sn/publications/communiques-officiels/arrete-ndeg-09852-du-24-juin-2024-portant-administration-des,verified_price,Prix chiffré avec source identifiée
21,JP-00021,Baguette de pain,Boulangerie,,unite_115g,Dakar,100.0,100.0,2024-06-24,official_reference,homologué,Arrêté n°09852 du 24 juin 2024,https://www.primature.sn/publications/communiques-officiels/arrete-ndeg-09852-du-24-juin-2024-portant-administration-des,verified_price,Prix chiffré avec source identifiée
22,JP-00022,Baguette de pain standard,Boulangerie,,unite_190g,Dakar,150.0,150.0,2024-06-24,official_reference,homologué,Arrêté n°09852 du 24 juin 2024 + contrôle APS août 2026,https://www.primature.sn/publications/communiques-officiels/arrete-ndeg-09852-du-24-juin-2024-portant-administration-des,verified_price,Prix chiffré avec source identifiée
23,JP-00023,Baguette de pain,Boulangerie,,unite_230g,Dakar,200.0,200.0,2024-06-24,official_reference,homologué,Arrêté n°09852 du 24 juin 2024,https://www.primature.sn/publications/communiques-officiels/arrete-ndeg-09852-du-24-juin-2024-portant-administration-des,verified_price,Prix chiffré avec source identifiée
24,JP-00024,Farine boulangère de blé type 55,Farine,,sac_50kg,Dakar,15200.0,15200.0,2024-06-24,official_reference,homologué,Arrêté n°09852 du 24 juin 2024,https://www.primature.sn/publications/communiques-officiels/arrete-ndeg-09852-du-24-juin-2024-portant-administration-des,verified_price,Prix chiffré avec source identifiée
25,JP-00025,Farine boulangère améliorée,Farine,,sac_50kg,Dakar,15700.0,15700.0,2024-06-24,official_reference,homologué,Arrêté n°09852 du 24 juin 2024,https://www.primature.sn/publications/communiques-officiels/arrete-ndeg-09852-du-24-juin-2024-portant-administration-des,verified_price,Prix chiffré avec source identifiée
26,JP-00026,Farine de blé Gourmet,Farine,Gourmet,kg,Sénégal,802.0,,2026-09-09,online_retail,non_homologué,Jumia Sénégal – catégorie cuisine,https://www.jumia.sn/epicerie-cuisson/,verified_price,Prix chiffré avec source identifiée
27,JP-00027,Oignon frais local,Légumes,,kg,Dakar,421.0,,2026-05-01,market_average,non_homologué,"ANSD – IHPC base 2023, mai 2026",https://www.ansd.sn/sites/default/files/2026-06/IHPC_base2023_Mai-26_.pdf,verified_price,Prix chiffré avec source identifiée
28,JP-00028,Pomme de terre,Légumes,,kg,Dakar,482.0,,2026-05-01,market_average,non_homologué,"ANSD – Bulletin IHPC, mai 2026",https://www.ansd.sn/sites/default/files/2026-07/BULLETIN_MAI_2026_VF.pdf,verified_price,Prix chiffré avec source identifiée
29,JP-00029,Tomate ronde,Légumes,,kg,Dakar,732.0,,2026-05-01,market_average,non_homologué,"ANSD – Bulletin IHPC, mai 2026",https://www.ansd.sn/sites/default/files/2026-07/BULLETIN_MAI_2026_VF.pdf,verified_price,Prix chiffré avec source identifiée
30,JP-00030,"Aubergine locale (diakhatou, khouligné)",Légumes,,kg,Dakar,480.0,,2026-05-01,market_average,non_homologué,"ANSD – Bulletin IHPC, mai 2026",https://www.ansd.sn/sites/default/files/2026-07/BULLETIN_MAI_2026_VF.pdf,verified_price,Prix chiffré avec source identifiée
31,JP-00031,Aubergine violette (batanksé),Légumes,,kg,Dakar,370.0,,2026-05-01,market_average,non_homologué,"ANSD – Bulletin IHPC, mai 2026",https://www.ansd.sn/sites/default/files/2026-07/BULLETIN_MAI_2026_VF.pdf,verified_price,Prix chiffré avec source identifiée
32,JP-00032,Haricots verts,Légumes,,kg,Dakar,890.0,,2026-05-01,market_average,non_homologué,"ANSD – Bulletin IHPC, mai 2026",https://www.ansd.sn/sites/default/files/2026-07/BULLETIN_MAI_2026_VF.pdf,verified_price,Prix chiffré avec source identifiée
33,JP-00033,Gombos frais,Légumes,,kg,Dakar,1533.0,,2026-05-01,market_average,non_homologué,"ANSD – Bulletin IHPC, mai 2026",https://www.ansd.sn/sites/default/files/2026-07/BULLETIN_MAI_2026_VF.pdf,verified_price,Prix chiffré avec source identifiée
34,JP-00034,Carotte,Légumes,,kg,Dakar,376.0,,2026-01-01,market_average,non_homologué,ANSD – Bulletin IHPC janvier 2026,https://www.ansd.sn/sites/default/files/2026-04/BULLETIN_JANVIER_2026_VF_14_04_2026.pdf,verified_price,Prix chiffré avec source identifiée
35,JP-00035,Concombre,Légumes,,kg,Dakar,655.0,,2026-05-01,market_average,non_homologué,"ANSD – Bulletin IHPC, mai 2026",https://www.ansd.sn/sites/default/files/2026-07/BULLETIN_MAI_2026_VF.pdf,verified_price,Prix chiffré avec source identifiée
36,JP-00036,Poivron frais,Légumes,,kg,Dakar,1040.0,,2026-01-01,market_average,non_homologué,ANSD – Bulletin IHPC janvier 2026,https://www.ansd.sn/sites/default/files/2026-04/BULLETIN_JANVIER_2026_VF_14_04_2026.pdf,verified_price,Prix chiffré avec source identifiée
37,JP-00037,Patate douce fraîche,Tubercules,,kg,Dakar,517.0,,2026-05-01,market_average,non_homologué,"ANSD – Bulletin IHPC, mai 2026",https://www.ansd.sn/sites/default/files/2026-07/BULLETIN_MAI_2026_VF.pdf,verified_price,Prix chiffré avec source identifiée
38,JP-00038,Manioc frais,Tubercules,,kg,Dakar,429.0,,2026-05-01,market_average,non_homologué,"ANSD – Bulletin IHPC, mai 2026",https://www.ansd.sn/sites/default/files/2026-07/BULLETIN_MAI_2026_VF.pdf,verified_price,Prix chiffré avec source identifiée
39,JP-00039,Papaye Afrique,Fruits,,kg,Dakar,981.0,,2026-05-01,market_average,non_homologué,"ANSD – Bulletin IHPC, mai 2026",https://www.ansd.sn/sites/default/files/2026-07/BULLETIN_MAI_2026_VF.pdf,verified_price,Prix chiffré avec source identifiée
40,JP-00040,Pomme fruit,Fruits,,kg,Dakar,1764.0,,2026-05-01,market_average,non_homologué,"ANSD – Bulletin IHPC, mai 2026",https://www.ansd.sn/sites/default/files/2026-07/BULLETIN_MAI_2026_VF.pdf,verified_price,Prix chiffré avec source identifiée
41,JP-00041,Avocat,Fruits,,kg,Dakar,1352.0,,2026-05-01,market_average,non_homologué,"ANSD – Bulletin IHPC, mai 2026",https://www.ansd.sn/sites/default/files/2026-07/BULLETIN_MAI_2026_VF.pdf,verified_price,Prix chiffré avec source identifiée
42,JP-00042,Pastèque,Fruits,,kg,Dakar,417.0,,2026-05-01,market_average,non_homologué,"ANSD – Bulletin IHPC, mai 2026",https://www.ansd.sn/sites/default/files/2026-07/BULLETIN_MAI_2026_VF.pdf,verified_price,Prix chiffré avec source identifiée
43,JP-00043,Viande de bœuf avec os,Viandes,,kg,Dakar,4433.0,,2026-05-01,market_average,non_homologué,"ANSD – IHPC base 2023, mai 2026",https://www.ansd.sn/sites/default/files/2026-06/IHPC_base2023_Mai-26_.pdf,verified_price,Prix chiffré avec source identifiée
44,JP-00044,Sardinelles fumées (Kethiath),Poissons,,kg,Dakar,1658.0,,2026-05-01,market_average,non_homologué,"ANSD – Bulletin IHPC, mai 2026",https://www.ansd.sn/sites/default/files/2026-07/BULLETIN_MAI_2026_VF.pdf,verified_price,Prix chiffré avec source identifiée
45,JP-00045,Capitaine séché salé (Guedj beurr),Poissons,,kg,Dakar,7137.0,,2026-05-01,market_average,non_homologué,"ANSD – Bulletin IHPC, mai 2026",https://www.ansd.sn/sites/default/files/2026-07/BULLETIN_MAI_2026_VF.pdf,verified_price,Prix chiffré avec source identifiée
46,JP-00046,Riz brisé ordinaire,Céréales & féculents,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
47,JP-00047,Riz brisé ordinaire,Céréales & féculents,Karolina,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
48,JP-00048,Riz brisé ordinaire,Céréales & féculents,SUNU THIEP,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
49,JP-00049,Riz brisé ordinaire,Céréales & féculents,Thiof,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
50,JP-00050,Riz brisé parfumé,Céréales & féculents,Karolina,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
51,JP-00051,Riz brisé parfumé,Céréales & féculents,Thiof,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
52,JP-00052,Riz brisé parfumé,Céréales & féculents,Myna,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
53,JP-00053,Riz brisé parfumé,Céréales & féculents,Royal,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
54,JP-00054,Riz entier,Céréales & féculents,SUNU THIEP,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
55,JP-00055,Riz entier,Céréales & féculents,Karolina,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
56,JP-00056,Riz complet,Céréales & féculents,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
57,JP-00057,Riz basmati,Céréales & féculents,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
58,JP-00058,Riz basmati,Céréales & féculents,Royal,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
59,JP-00059,Riz jasmin,Céréales & féculents,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
60,JP-00060,Mil,Céréales & féculents,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
61,JP-00061,Mil décortiqué,Céréales & féculents,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
62,JP-00062,Maïs en grains,Céréales & féculents,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
63,JP-00063,Maïs moulu,Céréales & féculents,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
64,JP-00064,Fonio,Céréales & féculents,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
65,JP-00065,Fonio précuit,Céréales & féculents,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
66,JP-00066,Sorgho,Céréales & féculents,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
67,JP-00067,Avoine,Céréales & féculents,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
68,JP-00068,Couscous fin,Céréales & féculents,Diari,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
69,JP-00069,Couscous moyen,Céréales & féculents,Diari,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
70,JP-00070,Couscous de mil,Céréales & féculents,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
71,JP-00071,Semoule de maïs,Céréales & féculents,Sans marque,kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
72,JP-00072,Spaghetti,Pâtes & nouilles,Barilla,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
73,JP-00073,Spaghetti,Pâtes & nouilles,Auntie B,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
74,JP-00074,Spaghetti,Pâtes & nouilles,Pastami,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
75,JP-00075,Spaghetti,Pâtes & nouilles,Maman,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
76,JP-00076,Macaroni,Pâtes & nouilles,Barilla,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
77,JP-00077,Macaroni,Pâtes & nouilles,Pastami,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
78,JP-00078,Penne,Pâtes & nouilles,Barilla,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
79,JP-00079,Fusilli,Pâtes & nouilles,Barilla,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
80,JP-00080,Vermicelles,Pâtes & nouilles,Maman,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
81,JP-00081,Vermicelles,Pâtes & nouilles,Maman,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
82,JP-00082,Nouilles instantanées,Pâtes & nouilles,Indomie,70g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
83,JP-00083,Nouilles instantanées,Pâtes & nouilles,Indomie,100g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
84,JP-00084,Lasagnes,Pâtes & nouilles,Barilla,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
85,JP-00085,Coquillettes,Pâtes & nouilles,Barilla,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
86,JP-00086,Tagliatelles,Pâtes & nouilles,Barilla,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
87,JP-00087,Farine de blé,Farines & boulangerie,Gourmet,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
88,JP-00088,Farine de blé,Farines & boulangerie,Gourmet,5kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
89,JP-00089,Farine de blé,Farines & boulangerie,Gourmet,10kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
90,JP-00090,Farine de blé type 55,Farines & boulangerie,Sans marque,50kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
91,JP-00091,Farine améliorée,Farines & boulangerie,Sans marque,50kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
92,JP-00092,Farine de maïs,Farines & boulangerie,Sans marque,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
93,JP-00093,Farine de mil,Farines & boulangerie,Sans marque,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
94,JP-00094,Levure sèche,Farines & boulangerie,Panelli,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
95,JP-00095,Levure boulangère,Farines & boulangerie,Sans marque,125g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
96,JP-00096,Chapelure,Farines & boulangerie,Sans marque,200g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
97,JP-00097,Sucre cristallisé,Sucres & édulcorants,CSS,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
98,JP-00098,Sucre cristallisé,Sucres & édulcorants,Saint Louis,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
99,JP-00099,Sucre en poudre,Sucres & édulcorants,Saint Louis,650g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
100,JP-00100,Sucre en morceaux,Sucres & édulcorants,CSS,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
101,JP-00101,Sucre en morceaux,Sucres & édulcorants,Saint Louis,1kg,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
102,JP-00102,Sucre glace,Sucres & édulcorants,Sans marque,500g,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
103,JP-00103,Sucre vanillé,Sucres & édulcorants,Sans marque,x5 sachets,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
104,JP-00104,Édulcorant,Sucres & édulcorants,Sans marque,100 comprimés,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
105,JP-00105,Huile de palme raffinée,Huiles & matières grasses,Sans marque,1L,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
106,JP-00106,Huile de palme raffinée,Huiles & matières grasses,Niani,1L,Sénégal,,,,not_verified,non_déterminé,Catalogue de référencement — prix à relever/vérifier,,catalog_candidate,Produit/famille à confirmer dans le catalogue fournisseur ou point de vente avant publication du prix.
